name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
dynamic_library_path,$libdir,,Client Connection Defaults / Other Defaults,superuser,string,default,$libdir,$libdir,False
dynamic_shared_memory_type,windows,,Resource Usage / Memory,postmaster,enum,configuration file,windows,windows,False
effective_cache_size,524288,8kB,Query Tuning / Planner Cost Constants,user,integer,default,524288,524288,False
effective_io_concurrency,16,,Resource Usage / I/O,user,integer,default,16,16,False
enable_async_append,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_bitmapscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_distinct_reordering,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_gathermerge,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_group_by_reordering,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_hashagg,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_hashjoin,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_incremental_sort,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_indexonlyscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_indexscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_material,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_memoize,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_mergejoin,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_nestloop,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_parallel_append,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_parallel_hash,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_partition_pruning,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_partitionwise_aggregate,off,,Query Tuning / Planner Method Configuration,user,bool,default,off,off,False
enable_partitionwise_join,off,,Query Tuning / Planner Method Configuration,user,bool,default,off,off,False
enable_presorted_aggregate,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_self_join_elimination,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_seqscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_sort,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
enable_tidscan,on,,Query Tuning / Planner Method Configuration,user,bool,default,on,on,False
