name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
ssl_passphrase_command,,,Connections and Authentication / SSL,sighup,string,default,,,False
ssl_passphrase_command_supports_reload,off,,Connections and Authentication / SSL,sighup,bool,default,off,off,False
ssl_prefer_server_ciphers,on,,Connections and Authentication / SSL,sighup,bool,default,on,on,False
ssl_tls13_ciphers,,,Connections and Authentication / SSL,sighup,string,default,,,False
standard_conforming_strings,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,on,on,False
statement_timeout,0,ms,Client Connection Defaults / Statement Behavior,user,integer,default,0,0,False
stats_fetch_consistency,cache,,Statistics / Cumulative Query and Index Statistics,user,enum,default,cache,cache,False
subtransaction_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,0,32,False
summarize_wal,off,,Write-Ahead Log / Summarization,sighup,bool,default,off,off,False
superuser_reserved_connections,3,,Connections and Authentication / Connection Settings,postmaster,integer,default,3,3,False
sync_replication_slots,off,,Replication / Standby Servers,sighup,bool,default,off,off,False
synchronize_seqscans,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,on,on,False
synchronized_standby_slots,,,Replication / Primary Server,sighup,string,default,,,False
synchronous_commit,on,,Write-Ahead Log / Settings,user,enum,default,on,on,False
synchronous_standby_names,,,Replication / Primary Server,sighup,string,default,,,False
syslog_facility,none,,Reporting and Logging / Where to Log,sighup,enum,default,none,none,False
syslog_ident,postgres,,Reporting and Logging / Where to Log,sighup,string,default,postgres,postgres,False
syslog_sequence_numbers,on,,Reporting and Logging / Where to Log,sighup,bool,default,on,on,False
syslog_split_messages,on,,Reporting and Logging / Where to Log,sighup,bool,default,on,on,False
tcp_keepalives_count,10,,Connections and Authentication / TCP Settings,user,integer,default,0,0,False
tcp_keepalives_idle,-1,s,Connections and Authentication / TCP Settings,user,integer,default,0,0,False
tcp_keepalives_interval,-1,s,Connections and Authentication / TCP Settings,user,integer,default,0,0,False
tcp_user_timeout,0,ms,Connections and Authentication / TCP Settings,user,integer,default,0,0,False
temp_buffers,1024,8kB,Resource Usage / Memory,user,integer,default,1024,1024,False
temp_file_limit,-1,kB,Resource Usage / Disk,superuser,integer,default,-1,-1,False
temp_tablespaces,,,Client Connection Defaults / Statement Behavior,user,string,default,,,False
timezone_abbreviations,Default,,Client Connection Defaults / Locale and Formatting,user,string,default,,Default,False
trace_connection_negotiation,off,,Developer Options,postmaster,bool,default,off,off,False
trace_notify,off,,Developer Options,user,bool,default,off,off,False
trace_sort,off,,Developer Options,user,bool,default,off,off,False
track_activities,on,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,on,on,False
track_activity_query_size,1024,B,Statistics / Cumulative Query and Index Statistics,postmaster,integer,default,1024,1024,False
track_commit_timestamp,off,,Replication / Sending Servers,postmaster,bool,default,off,off,False
track_cost_delay_timing,off,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,off,off,False
track_counts,on,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,on,on,False
track_functions,none,,Statistics / Cumulative Query and Index Statistics,superuser,enum,default,none,none,False
track_io_timing,off,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,off,off,False
track_wal_io_timing,off,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,off,off,False
transaction_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,0,32,False
transaction_deferrable,off,,Client Connection Defaults / Statement Behavior,user,bool,override,off,off,False
transaction_isolation,read committed,,Client Connection Defaults / Statement Behavior,user,enum,override,read committed,read committed,False
transaction_read_only,off,,Client Connection Defaults / Statement Behavior,user,bool,override,off,off,False
transaction_timeout,0,ms,Client Connection Defaults / Statement Behavior,user,integer,default,0,0,False
transform_null_equals,off,,Version and Platform Compatibility / Other Platforms and Clients,user,bool,default,off,off,False
unix_socket_directories,,,Connections and Authentication / Connection Settings,postmaster,string,default,,,False
unix_socket_group,,,Connections and Authentication / Connection Settings,postmaster,string,default,,,False
unix_socket_permissions,0777,,Connections and Authentication / Connection Settings,postmaster,integer,default,511,511,False
update_process_title,off,,Reporting and Logging / Process Title,superuser,bool,default,off,off,False
vacuum_buffer_usage_limit,2048,kB,Resource Usage / Memory,user,integer,default,2048,2048,False
vacuum_cost_delay,0,ms,Vacuuming / Cost-Based Vacuum Delay,user,real,default,0,0,False
vacuum_cost_limit,200,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,200,200,False
vacuum_cost_page_dirty,20,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,20,20,False
vacuum_cost_page_hit,1,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,1,1,False
vacuum_cost_page_miss,2,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,2,2,False
vacuum_failsafe_age,1600000000,,Vacuuming / Freezing,user,integer,default,1600000000,1600000000,False
vacuum_freeze_min_age,50000000,,Vacuuming / Freezing,user,integer,default,50000000,50000000,False
vacuum_freeze_table_age,150000000,,Vacuuming / Freezing,user,integer,default,150000000,150000000,False
vacuum_max_eager_freeze_failure_rate,0.03,,Vacuuming / Freezing,user,real,default,0.03,0.03,False
vacuum_multixact_failsafe_age,1600000000,,Vacuuming / Freezing,user,integer,default,1600000000,1600000000,False
vacuum_multixact_freeze_min_age,5000000,,Vacuuming / Freezing,user,integer,default,5000000,5000000,False
vacuum_multixact_freeze_table_age,150000000,,Vacuuming / Freezing,user,integer,default,150000000,150000000,False
vacuum_truncate,on,,Vacuuming / Default Behavior,user,bool,default,on,on,False
wal_block_size,8192,,Preset Options,internal,integer,default,8192,8192,False
wal_buffers,512,8kB,Write-Ahead Log / Settings,postmaster,integer,default,-1,512,False
wal_compression,off,,Write-Ahead Log / Settings,superuser,enum,default,off,off,False
wal_consistency_checking,,,Developer Options,superuser,string,default,,,False
wal_decode_buffer_size,524288,B,Write-Ahead Log / Recovery,postmaster,integer,default,524288,524288,False
wal_init_zero,on,,Write-Ahead Log / Settings,superuser,bool,default,on,on,False
wal_keep_size,0,MB,Replication / Sending Servers,sighup,integer,default,0,0,False
wal_level,replica,,Write-Ahead Log / Settings,postmaster,enum,default,replica,replica,False
wal_log_hints,off,,Write-Ahead Log / Settings,postmaster,bool,default,off,off,False
wal_receiver_create_temp_slot,off,,Replication / Standby Servers,sighup,bool,default,off,off,False
wal_receiver_status_interval,10,s,Replication / Standby Servers,sighup,integer,default,10,10,False
wal_receiver_timeout,60000,ms,Replication / Standby Servers,sighup,integer,default,60000,60000,False
wal_recycle,on,,Write-Ahead Log / Settings,superuser,bool,default,on,on,False
wal_retrieve_retry_interval,5000,ms,Replication / Standby Servers,sighup,integer,default,5000,5000,False
wal_segment_size,16777216,B,Preset Options,internal,integer,default,16777216,16777216,False
wal_sender_timeout,60000,ms,Replication / Sending Servers,user,integer,default,60000,60000,False
wal_skip_threshold,2048,kB,Write-Ahead Log / Settings,user,integer,default,2048,2048,False
wal_summary_keep_time,14400,min,Write-Ahead Log / Summarization,sighup,integer,default,14400,14400,False
wal_sync_method,open_datasync,,Write-Ahead Log / Settings,sighup,enum,default,open_datasync,open_datasync,False
wal_writer_delay,200,ms,Write-Ahead Log / Settings,sighup,integer,default,200,200,False
wal_writer_flush_after,128,8kB,Write-Ahead Log / Settings,sighup,integer,default,128,128,False
work_mem,4096,kB,Resource Usage / Memory,user,integer,default,4096,4096,False
xmlbinary,base64,,Client Connection Defaults / Statement Behavior,user,enum,default,base64,base64,False
xmloption,content,,Client Connection Defaults / Statement Behavior,user,enum,default,content,content,False
zero_damaged_pages,off,,Developer Options,superuser,bool,default,off,off,False
